,level_0,index,Name,Rating Value,Rating Count,Course,Would Take Again,Difficulty,University,Link,Score
127,127,343,David Hogan,3.5,37,Psychology,0.5,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/393156,0.6841052631578948
128,128,150,Jerome Gonnella,3.9,23,Business Informatics,0.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/900795,0.6835
129,129,358,Cathy Ingram,3.5,13,Health,0.0,1.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/764804,0.6805714285714286
130,130,156,Elizabeth Schoulties,5.0,2,Nursing,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1046114,0.6799999999999999
131,131,182,Danielle Donley,4.5,2,Communication,0.0,1.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1948684,0.6799999999999999
132,132,144,Kathleen Broomall,5.0,2,Biological Sciences,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1517136,0.6799999999999999
133,133,113,Gary Gray,3.9,5,Management,0.75,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2475655,0.679
134,134,135,Mari Hoffman,4.0,24,Mathematics,0.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/768078,0.6779999999999999
135,135,40,Sara Mahle,4.6,7,"Radio, TV & Film",0.0,2.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1225995,0.6764999999999999
136,136,327,Renee Human,4.9,5,Not Specified,0.0,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1564850,0.676
137,137,298,Monica Gallegos,3.7,12,Communication,0.75,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1870134,0.675923076923077
138,138,77,Robert Brice,3.8,19,Philosophy,0.65,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2196341,0.6739999999999999
139,139,284,Patrick Ashley,4.5,4,Communication,0.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2067254,0.672
140,140,215,Marie Jump,2.6,9,Mathematics,1.0,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1633731,0.67
141,141,68,Jennifer Kinsley,5.0,1,Law,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2707490,0.67
142,142,30,Sarah Keefe,4.0,1,Information Science,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2454140,0.67
143,143,48,Barbara Cowan,5.0,1,Social Work,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2810914,0.67
144,144,49,Wayne Bresser,5.0,1,Information Science,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2768792,0.67
145,145,263,Kasey Kuhjada,5.0,1,English,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2872898,0.67
146,146,350,Brian Sauer,5.0,1,Computer Science,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2808775,0.67
147,147,351,Ian Aiuto,5.0,1,Social Work,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2809949,0.67
148,148,159,Brendan Snyder,4.2,5,English,0.0,2.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1062932,0.6699999999999999
149,149,9,Shana Cronican,4.2,8,Women's Studies,0.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1281299,0.6686666666666667
150,150,163,Richard Fox,4.6,5,Information Science,1.0,4.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1803129,0.6679999999999999
151,151,152,Fred Otto,3.8,2,Poli-Science & Crim. Justice,0.0,1.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1640549,0.6679999999999999
152,152,179,Ed Workman,4.3,2,Construction Management,0.0,1.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1276643,0.6679999999999999
